City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,abha,18.2164,42.5053,48.45,71,0,4.61,SA,1675210116
331,orumiyeh,37.5527,45.0761,25.16,83,76,5.46,IR,1675210272
332,aransas pass,27.9095,-97.15,40.98,93,100,16.11,US,1675210273
333,punta umbria,37.1821,-6.9661,45.23,53,3,6.44,ES,1675210273
334,naze,28.3667,129.4833,59.85,67,22,8.14,JP,1675210274
335,tbilisi,41.6941,44.8337,37.11,93,100,0.0,GE,1675210097
336,constitucion,-35.3333,-72.4167,57.58,77,18,12.68,CL,1675210275
337,grindavik,63.8424,-22.4338,25.27,86,0,6.91,IS,1675210275
338,saldanha,-33.0117,17.9442,64.4,92,21,17.76,ZA,1675210276
339,robertsport,6.7533,-11.3686,78.87,87,21,5.75,LR,1675210276
340,vieux fort,13.7167,-60.95,72.72,88,20,0.0,LC,1675210277
341,vallenar,-28.5708,-70.7581,72.75,50,16,5.12,CL,1675210277
342,anchorage,61.2181,-149.9003,33.67,94,100,3.44,US,1675209530
343,wonthaggi,-38.6044,145.5913,64.81,58,85,10.51,AU,1675210278
344,nikolskoye,59.7035,30.7861,31.89,87,96,8.9,RU,1675210278
345,avera,33.194,-82.5271,64.54,95,100,5.88,US,1675210279
346,labuhan,-6.8844,112.2051,78.35,85,100,6.2,ID,1675210279
347,barreirinhas,-2.7469,-42.8264,76.32,91,73,7.27,BR,1675210280
348,ndioum,16.5129,-14.6471,73.85,15,2,9.89,SN,1675210281
349,acarau,-2.8856,-40.12,78.93,82,77,11.99,BR,1675210281
350,rantepao,-2.9701,119.8978,72.19,90,100,0.4,ID,1675210281
351,languyan,5.2618,120.0807,79.74,81,64,5.26,PH,1675210282
352,kocerin,43.3897,17.485,25.11,74,17,3.8,BA,1675210282
353,korla,41.7597,86.1469,19.87,79,98,2.46,CN,1675210015
354,sayat,38.7839,63.8803,43.79,70,100,14.9,TM,1675210283
355,izumo,35.3667,132.7667,45.63,75,71,11.25,JP,1675210284
356,manaure,11.7751,-72.4445,78.6,66,3,18.14,CO,1675210284
357,kokopo,-4.352,152.2633,84.24,66,90,8.81,PG,1675210285
358,yar-sale,66.8333,70.8333,12.51,95,100,16.71,RU,1675210285
359,omsukchan,62.5333,155.8,-6.18,97,100,0.92,RU,1675210286
360,vanavara,60.34,102.2797,-7.24,99,100,2.89,RU,1675210287
361,makat,47.6469,53.3463,25.32,52,9,11.25,KZ,1675210287
362,carballo,43.213,-8.691,48.87,87,20,4.0,ES,1675210288
363,asilah,35.465,-6.0348,51.76,72,0,8.99,MA,1675210288
364,kuching,1.55,110.3333,80.02,88,40,0.0,MY,1675210153
365,jining,35.405,116.5814,35.38,34,99,15.43,CN,1675210010
